venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
J. Informetrics,1,A2,periódico,1751-1577,JOURNAL OF INFORMETRICS,nome
Asia and South Pacific Design Automation Conference,1,A1,evento,ASP-DAC,Asia and South Pacific Design Automation Conference,nome
2021 XVI Latin American Conference on Learning Technologies (LACLO),1,B1,evento,LACLO,Latin American Conference on Learning Technologies,nome
Discover Internet of Things,1,A2,periódico,2730-7239,DISCOVER INTERNET OF THINGS (ONLINE),ISSN
"IEEE Transactions on Systems, Man & Cybernetics. Systems",1,A1,periódico,2168-2216,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS",ISSN
International ACM Conference on Management of Emergent Digital EcoSystems,1,,,,,não listado
IIAI International Conference on Advanced Applied Informatics,1,,,,,não listado
Interaction Homme-Machine,1,,,,,não listado
"International Conference on Network, Communication and Computing",1,,,,,não listado
Journal of Communications,1,,,,,não listado
Computer Science Review,1,A1,periódico,1574-0137,COMPUTER SCIENCE REVIEW,ISSN
Journal of Advances in Information Technology,1,,,,,não listado
"International Conference on P2P, Parallel, Grid, Cloud and Internet Computing",1,,,,,não listado
Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software,1,,,,,workshop/trilha
Conference on Human Information Interaction and Retrieval,1,,,,,não listado
The Practice of Enterprise Modeling,1,,,,,não listado
International Journal of Adult Education and Technology,1,,,,,não listado
Nepalese Journal of Economics,1,,,,,não listado
2024 IEEE International Conference on Computing (ICOCO),1,,,,,não listado
International Conference on Advanced Computer Theory and Engineering,1,,,,,não listado
"Cadernos de Educação, Tecnologia e Sociedade",1,A3,periódico,2316-9907,"CADERNOS DE EDUCAÇÃO, TECNOLOGIA E SOCIEDADE",ISSN
International Distributed Multimedia Systems Conference on Visualization and Visual Languages,1,,,,,não listado
Revista Principia,1,B2,periódico,1517-0306,PRINCIPIA (JOÃO PESSOA),ISSN
ВИМІРЮВАЛЬНА ТА ОБЧИСЛЮВАЛЬНА ТЕХНІКА В ТЕХНОЛОГІЧНИХ ПРОЦЕСАХ,1,,,,,não listado
2021 IEEE/ACM 8th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),1,B3,evento,SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,nome
2025 IEEE/ACM International Workshop on Responsible AI Engineering (RAIE),1,,,,,workshop/trilha
IEEE Transactions on Emerging Topics in Computing,1,A1,periódico,2168-6750,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,ISSN
Conference on Business Informatics,1,A3,evento,CBI,IEEE Conference on Business Informatics,nome
Journal on Data Semantics,1,B2,periódico,1861-2032,JOURNAL ON DATA SEMANTICS,ISSN
European Dependable Computing Conference,1,A4,evento,EDCC,European Dependable Computing Conference,nome
Open Identity Summit,1,,,,,não listado
2025 5th International Conference on Emerging Smart Technologies and Applications (eSmarTA),1,B2,evento,ESMARTA,International Conference on Emerging Smart Technologies and Applications,nome
2023 3rd International Conference on Emerging Smart Technologies and Applications (eSmarTA),1,B2,evento,ESMARTA,International Conference on Emerging Smart Technologies and Applications,nome
2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),1,,,,,não listado
Advanced Computing An International Journal,1,,,,,não listado
2018 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),1,,,,,workshop/trilha
Portuguese Conference on Artificial Intelligence,1,A4,evento,EPIA,Portuguese Conference on Artificial Intelligence,nome
IEEE International Enterprise Distributed Object Computing Conference,1,A3,evento,EDOC,IEEE International Enterprise Distributed Object Computing Conference,nome
Comput. Mater. Continua,1,,,,,não listado
Symposium on Information and Communication Technology,1,,,,,não listado
Information Manager (The),1,,,,,não listado
IDIA,1,,,,,não listado
Cogent Engineering,1,A3,periódico,2331-1916,COGENT ENGINEERING,ISSN
2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible Artificial Intelligence (SE4RAI),1,,,,,workshop/trilha
Data Base,1,,,,,não listado
International Conference on Smart Cloud,1,,,,,não listado
IFIP/IEEE Symposium on Integrated Network Management,1,A2,evento,IM,IFIP/IEEE International Symposium on Integrated Network Management,nome
International Conference on Software Quality. Process Automation in Software Development,1,A4,evento,SWQD,Conference Software Quality Days,apelido
International Conference on Advanced Cloud and Big Data,1,,,,,não listado
2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),1,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,nome
CAiSE Research Projects Exhibition,1,,,,,não listado
2020 IEEE/ACM 42nd International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),1,A3,evento,ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,nome
Revista Guillermo de Ockham,1,,,,,não listado
9th International Conference on Information Technology Convergence and Services (ITCSE 2020),1,,,,,não listado
International Journal of Human Capital and Information Technology Professionals,1,,,,,não listado
2025 IEEE/ACM 4th International Conference on AI Engineering – Software Engineering for AI (CAIN),1,A4,evento,CAIN,International Conference on AI Engineering – Software Engineering for AI,nome
2017 IEEE/ACM 3rd International Workshop on Rapid Continuous Software Engineering (RCoSE),1,,,,,workshop/trilha
2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),1,A1,evento,ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,sigla
Computer,1,A3,periódico,0018-9162,COMPUTER MAGAZINE,ISSN
Turkish J. Electr. Eng. Comput. Sci.,1,,,,,não listado
Anais do XII Encontro Nacional de Computação dos Institutos Federais (EnCompIF 2025),1,,,,,não listado
2025 5th International Conference on Educational Communications and Technology (ICTAECT),1,,,,,não listado
South African Journal of Information Management,1,,,,,não listado
International Journal of Conflict Management,1,,,,,não listado
Journal of Vision,1,A4,periódico,1343-8875,JOURNAL OF VISUALIZATION,nome
"2025 IEEE VIII Congreso Internacional en Inteligencia Ambiental, Ingenieria de Software y Salud Electronica y Movil (AmITIC)",1,,,,,não listado
International Journal of Machine Learning and Computing,1,,,,,não listado
"2023 International Conference on Next-Generation Computing, IoT and Machine Learning (NCIM)",1,,,,,não listado
Annual Conference of the IEEE Industrial Electronics Society,1,A2,evento,IECON,Annual Conference of the IEEE Industrial Electronics Society,nome
SADIO Electronic Journal of Informatics and Operations Research,1,,,,,não listado
2022 2nd International Conference on Emerging Smart Technologies and Applications (eSmarTA),1,B2,evento,ESMARTA,International Conference on Emerging Smart Technologies and Applications,nome
"2024 IEEE 2nd International Conference on Electrical Engineering, Computer and Information Technology (ICEECIT)",1,,,,,não listado
Cloud Computing Security Workshop,1,,,,,workshop/trilha
2019 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),1,,,,,workshop/trilha
ISSRE Workshops,1,,,,,workshop/trilha
International Conference on Neural Information Processing,1,A2,evento,ICONIP,International Conference on Neural Information Processing,nome
Swiss Conference on Data Science,1,A4,evento,SDS,International Conference on Software Defined Systems,nome
"2021 IEEE/ACM Joint 9th International Workshop on Software Engineering for Systems-of-Systems and 15th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems (SESoS/WDES)",1,,,,,workshop/trilha
SICS Software-Intensive Cyber-Physical Systems,1,,,,,não listado
"IFIP International Conference on e-Business, e-Services, and e-Society",1,A2,evento,I3E,"IFIP International Conference on e-Business, e-Services, and e-Society",nome
Journal of business research,1,,,,,não listado
CISIS-ICEUTE,1,,,,,não listado
Data & Policy,1,,,,,não listado
Revista de Tecnologia Aplicada,1,B1,periódico,2237-3713,REVISTA DE TECNOLOGIA APLICADA,ISSN
International Conferences on Information Technologies and Electrical Engineering,1,,,,,não listado
International Conference on Advanced Aspects of Software Engineering,1,,,,,não listado
Journal of Science Innovation and Technology Research,1,,,,,não listado
Jurnal Teknik Informatika (Jutif),1,,,,,não listado
Journal,1,,,,,não listado
Anais do I Brazilian Workshop on Large-scale Critical Systems (BWare 2019),1,,,,,workshop/trilha
2024 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),1,,,,,não listado
SIGCITE,1,,,,,não listado
Journal of Official Statistics,1,,,,,não listado
Anais do XII Computer on the Beach - COTB '21,1,,,,,não listado
Conference on Information Communications Technology and Society,1,,,,,não listado
Mathematical Programming Computation,1,A1,periódico,1867-2949,MATHEMATICAL PROGRAMMING COMPUTATION,nome
e-Informatica Software Engineering Journal,1,B2,periódico,2084-4840,E-INFORMATICA SOFTWARE ENGINEERING JOURNAL,nome
2025 IEEE/ACM Second International Conference on AI Foundation Models and Software Engineering (Forge),1,,,,,não listado
Iconics,1,,,,,não listado
2022 2nd International Conference on Computing and Information Technology (ICCIT),1,,,,,não listado
"2022 International Engineering Conference on Electrical, Energy, and Artificial Intelligence (EICEEAI)",1,,,,,não listado
Knowledge Discovery and Data Mining,1,A1,evento,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,nome
2023 9th Annual International Conference on Network and Information Systems for Computers (ICNISC),1,,,,,não listado
ICEC-JCSG,1,,,,,não listado
2022 10th International Conference in Software Engineering Research and Innovation (CONISOFT),1,,,,,não listado
IEEE International Conference on Consumer Electronics,1,,,,,não listado
Businesses,1,,,,,não listado
Open Computer Science,1,,,,,não listado
International Conference on Autonomic Computing and Self-Organizing Systems,1,A4,evento,ACSOS,IEEE International Conference on Autonomic Computing and Self-Organizing Systems,nome
Symposium on High Performance Computing Systems,1,A4,evento,SSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,nome
"International Journal of Technology, Food and Agriculture",1,,,,,não listado
,1,B2,periódico,1552-6607,JOURNAL OF COMPUTER SCIENCE,nome
IEEE International Conference on Fuzzy Systems,1,A2,evento,FUZZ,IEEE International Conference on Fuzzy Systems,nome
Array,1,A3,periódico,2590-0056,ARRAY,ISSN
Journal of Electrical and Computer Engineering,1,,,,,não listado
2023 26th International Conference on Computer and Information Technology (ICCIT),1,,,,,não listado
LatinX in AI at Neural Information Processing Systems Conference 2023,1,,,,,não listado
2023 International Conference on Information and Communication Technology for Sustainable Development (ICICT4SD),1,,,,,não listado
International Journal of Service Science Management Engineering and Technology,1,,,,,não listado
2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),1,,,,,workshop/trilha
International Journal of Intelligent Systems and Applications,1,,,,,não listado
International conference on Artificial intelligence and applications,1,,,,,não listado
Machine Learning with Applications,1,A2,periódico,2666-8270,MACHINE LEARNING WITH APPLICATIONS,ISSN
Frontiers in Public Health,1,A1,periódico,2296-2565,FRONTIERS IN PUBLIC HEALTH,ISSN
International Conference on Conceptual Structures,1,,,,,não listado
ExplAI,1,,,,,não listado
GREENS@ICSE,1,,,,,workshop/trilha
ResponibleSE@SIGSOFT FSE,1,,,,,workshop/trilha
Proceedings of the 2024 Sixteenth International Conference on Contemporary Computing,1,,,,,não listado
Int. J. Inf. Manag. Data Insights,1,,,,,não listado
GAIA - Ecological Perspectives for Science and Society,1,,,,,não listado
Australasian Journal of Engineering Education,1,,,,,não listado
Journal of Innovation in Educational and Cultural Research,1,,,,,não listado
International Journal of Interactive Mobile Technologies,1,A3,periódico,1865-7923,INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES,ISSN
International Journal of Engineering and Manufacturing,1,,,,,não listado
STEM Education Review,1,,,,,não listado
International Journal of Network Management,1,A3,periódico,1099-1190,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT (ONLINE),nome
Frontiers of Digital Education,1,,,,,não listado
Educación y Educadores,1,,,,,não listado
Journal of Teaching in International Business,1,,,,,não listado
International Journal of Combinatorial Optimization Problems and Informatics,1,,,,,não listado
Journal of Computing in Higher Education,1,,,,,não listado
2022 IEEE/ACM International Workshop on Software-Intensive Business (IWSiB),1,,,,,workshop/trilha
Administrative Sciences,1,C,periódico,2076-3387,ADMINISTRATIVE SCIENCES,ISSN
Italian Conference on Computational Logic,1,,,,,não listado
Science China Information Sciences,1,,,,,não listado
"Journal of Software Engineering, Information and Communication Technology (SEICT)",1,,,,,não listado
International Symposium on Applied Machine Intelligence and Informatics,1,,,,,não listado
2024 IEEE/ACM 8th International Workshop on Games and Software Engineering (GAS),1,B3,evento,GAS,International Workshop on Games and Software Engineering,nome
Conference on Global Computing Education,1,,,,,não listado
"2021 International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",1,,,,,não listado
International Symposium on Computational and Business Intelligence,1,,,,,não listado
IWSiB@ICSE,1,,,,,workshop/trilha
International Workshop on Artificial Intelligence for Requirements Engineering,1,,,,,workshop/trilha
ASIS&T Annual Meeting,1,,,,,não listado
International Journal of Drug Delivery Technology,1,,,,,não listado
Verimlilik Dergisi,1,,,,,não listado
PLoS Comput. Biol.,1,A1,periódico,1553-7358,PLOS COMPUTATIONAL BIOLOGY (ONLINE),nome
International Journal of Politics &amp; Social Sciences Review (IJPSSR),1,,,,,não listado
IT Professional,1,A4,periódico,1520-9202,IT PROFESSIONAL,nome
International Journal of Information Systems and Project Management,1,A3,periódico,2182-7796,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND PROJECT MANAGEMENT,ISSN
Uluslararası sürdürülebilir mühendislik ve teknoloji dergisi,1,,,,,não listado
Perspectiva XXI,1,A1,periódico,2175-795X,PERSPECTIVA,nome
DiGRA Digital Library,1,,,,,não listado
International Journal of Evaluation and Research in Education (IJERE),1,,,,,não listado
"Research in Equitable and Sustained Participation in Engineering, Computing, and Technology",1,,,,,não listado
"2023 IEEE/ACM 4th Workshop on Gender Equity, Diversity, and Inclusion in Software Engineering (GEICSE)",1,,,,,workshop/trilha
RIDE Revista Iberoamericana para la Investigación y el Desarrollo Educativo,1,,,,,não listado
Teknobuga,1,,,,,não listado
ACM Trans. Internet Things,1,,,,,não listado
Archeologia dell’acqua a Gortina di Creta in età protobizantina,1,,,,,não listado
2024 3rd Edition of IEEE Delhi Section Flagship Conference (DELCON),1,,,,,não listado
Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,1,,,,,não listado
Future healthcare journal,1,,,,,não listado
Colloquium in Information Science and Technology,1,,,,,não listado
Eduvest - Journal Of Universal Studies,1,,,,,não listado
Cogent Business &amp; Management,1,A1,periódico,2331-1975,COGENT BUSINESS & MANAGEMENT,nome
2020 IEEE International Conference on Web Services (ICWS),1,,,,,não listado
Conducting Empirical Studies in Industry,1,B3,evento,SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,sigla
2019 IEEE International Conference on Software Architecture Companion (ICSA-C),1,,,,,workshop/trilha
ICAI Workshops,1,,,,,workshop/trilha
TKTP,1,,,,,não listado
Proceedings of Second International Conference on Advances in Computer Engineering and Communication Systems,1,,,,,não listado
European Symposium on Security and Privacy,1,,,,,não listado
Issues in Informing Science and Information Technology,1,,,,,não listado
International Conference on Computing Communication and Networking Technologies,1,,,,,não listado
"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",1,,,,,não listado
Frontiers Artif. Intell.,1,C,periódico,2624-8212,FRONTIERS IN ARTIFICIAL INTELLIGENCE,nome
Anais do II Workshop sobre as Implicações da Computação na Sociedade (WICS 2021),1,B3,evento,WICS,Workshop sobre as Implicações da Computação na Sociedade,nome
International Journal of Sports Science &amp; Coaching,1,,,,,não listado
International Workshop on Affective Computing for Requirements Engineering,1,,,,,workshop/trilha
Jurnal Borneo Administrator,1,,,,,não listado
ISPRS Int. J. Geo Inf.,1,,,,,não listado
Proceedings of the 2026 1st International Workshop on User Interface and Experience for Software Engineering,1,,,,,workshop/trilha
Anais do XXV Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS 2025),1,A4,evento,SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,nome
International Conference on Intelligent Computing and its Emerging Applications,1,,,,,não listado
IoT,1,B1,evento,ICIOT,International Conference on the Internet of Things,nome
2024 4th International Conference on Emerging Smart Technologies and Applications (eSmarTA),1,B2,evento,ESMARTA,International Conference on Emerging Smart Technologies and Applications,nome
Journal of Science and Technology Policy Management,1,,,,,não listado
International Workshop on Secure Internet of Things,1,,,,,workshop/trilha
2023 3rd International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),1,,,,,não listado
QuASoQ@APSEC,1,,,,,workshop/trilha
Proceedings of the 1st International Workshop on Test Oracles,1,,,,,workshop/trilha
Nile Journal of Communication and Computer Science,1,,,,,não listado
Anais do XXXVI Simpósio Brasileiro de Informática na Educação (SBIE 2025),1,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
INTED2023 Proceedings,1,,,,,não listado
Smart and Sustainable Built Environment,1,,,,,não listado
IJIE (Indonesian Journal of Informatics Education),1,,,,,não listado
Asian Journal of Research in Computer Science,1,,,,,não listado
International Journal of Advances in Applied Sciences,1,,,,,não listado
Computer Science Education Research Conference,1,,,,,não listado
Business Informatics,1,,,,,não listado
Annual Workshop of the Psychology of Programming Interest Group,1,,,,,workshop/trilha
2023 ASEE Annual Conference &amp; Exposition Proceedings,1,,,,,não listado
2024 ASEE Annual Conference &amp; Exposition Proceedings,1,,,,,não listado
Anais Estendidos do XVII Simpósio Brasileiro de Sistemas de Informação (Anais Estendidos do SBSI 2021),1,A4,evento,SBSI,Simpósio Brasileiro de Sistemas de Informação,nome
Anais do XIV Simpósio Brasileiro de Computação Ubíqua e Pervasiva (SBCUP 2022),1,B4,evento,SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,nome
AGENT@ICSE,1,,,,,workshop/trilha
MPLR,1,,,,,não listado
Anais do XXXIII Simpósio Brasileiro de Informática na Educação (SBIE 2022),1,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
IEEE Region 10 Conference,1,,,,,não listado
International Journal of Educational Technology in Higher Education,1,A1,periódico,2365-9440,INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION,nome
International Conference on Interaction Design and Children,1,A2,evento,ACMIDC,ACM Internacional Conference on Interaction Design and Children,nome aproximado
Intelligent Systems and Learning Data Analytics in Online Education,1,,,,,não listado
Systems Engineering,1,A4,periódico,1098-1241,SYSTEMS ENGINEERING (PRINT),ISSN
Quality &amp; Quantity,1,A1,periódico,0033-5177,QUALITY AND QUANTITY,nome
"International Student Conference on Business, Education, Economics, Accounting, and Management (ISC-BEAM)",1,,,,,não listado
"Lernen, Wissen, Daten, Analysen",1,,,,,não listado
Vestnik of Minin University,1,,,,,não listado
International Conference on Engineering Education,1,,,,,não listado
Empirical Research in Vocational Education and Training,1,,,,,não listado
International Journal of Educational Research,1,,,,,não listado
2024 9th International STEM Education Conference (iSTEM-Ed),1,,,,,não listado
Eurographics Conference on Visualization,1,,,,,não listado
J. Wirel. Mob. Networks Ubiquitous Comput. Dependable Appl.,1,,,,,não listado
International Workshop on Formal Aspects of Component Software,1,,,,,workshop/trilha
